licensetype	businessname	legaldescription	description	subtype	job_value
		MARKET PLACE QUEEN ANNE CONDO, VOL 17, PAGE 8	Alterations to existing multi-purpose retail sales tenant space for Bartell Drugs, per plans	COMMERCIAL	$50,000.00
ELECTRICAL CONTRACTOR LICENSE	RME INC		ADD (1) CIRCUIT FOR PAY STATION	COMMERCIAL	
ELEVATOR CONTRACTOR LICENSE	ELEVATIONS LTD		WALL PANELS, LAMINATE ON FIRE RATED PARTICLE BOARD, STAINLESS STEEL HANDRAILS & LAMINATE TRIM.		
ELECTRICAL CONTRACTOR LICENSE	ZAPP ELECTRIC OF SEATTLE LLC		EXTENDING EXISTING CIRCUIT FOR ADDITIONAL LIGHT.	SINGLE FAMILY / DUPLEX	
ELECTRICAL CONTRACTOR LICENSE	D G M CONTROLS		SOLAR POWERED PARKING PAY & DISPLAY UNIT.	COMMERCIAL	
	ADT SECURITY SERVICES INC		INSTALL SECURITY SYSTEM	COMMERCIAL	
GENERAL CONTRACTOR LICENSE, REGIS. SIDE SEWER CONTRACTOR	RAYMARK PLUMBING & SEWER		REPAIR	SINGLE FAMILY / DUPLEX	
ELECTRICAL CONTRACTOR LICENSE	MOLINA DELTA ELECTRIC COMPANY		WIRING FOR NEW GARAGE; BLDG PERMIT 6140733	SINGLE FAMILY / DUPLEX	
GENERAL CONTRACTOR LICENSE, REFRIGERATION CONTRACTOR LIC.	SULLIVANS RESIDENTAL SERVICES		REPLACE FURNACE IN SFR. REF BLDG PERMIT 6164695.	SINGLE FAMILY / DUPLEX	
ELECTRICAL CONTRACTOR LICENSE	S M E INCORPORATED OF SEATTLE		INSTALLING (1) 30A 220V CIRCUIT	COMMERCIAL	
		LT 3 & 4, BLK 26, DT DENNY'S NORTH SEATTLE ADDN	Closed as Incomplete - Expired Permit ERECT TEMPORARY TENT OVER OUTDOOR SEATING AREA OF EXIST. RESTAURANT 10/28/05 THRU 4/27/06 PER PLANS LESSEE RESPONSIBLE FOR TENT STRUCTURAL INTEGRITY	COMMERCIAL	$0.00
			VOLUNTARY SEISMIC UPGRADE TO SINGLE FAMILY RESIDENCE, PER PLANS		
ELECTRICAL CONTRACTOR LICENSE	PROTECTION & COMMUNICATNS INC		CCTV - (5) CAMERAS, PRE-WIRE ONLY.	COMMERCIAL	
ELECTRICAL CONTRACTOR LICENSE, GENERAL CONTRACTOR LICENSE, ELECTRICAL CONTRACTOR LICENSE	NORTHWEST MECHANICAL INC		INSTALLING BOILER	SINGLE FAMILY / DUPLEX	
			CONSTRUCT PARTIAL SECOND STORY ADDITION, REMODEL ROOF & THE EXISTING SINGLE FAMILY RESIDENCE ALL PER PLANS		
