customer_id,age_bucket,is_returning_customer,favorite_genres
1000078,46-55,True,"['Classic', 'History', 'Self-Help', 'Romance', 'Thriller', 'Pop-Sci', 'Pop-Psychology', 'Beach-Read', 'Sci-Fi']"
1000102,46-55,True,"['Beach-Read', 'Pop-Sci', 'Pop-Psychology', 'Biography', 'Sci-Fi', 'Drama', 'Self-Help']"
1000185,46-55,True,"['Romance', 'Self-Help', 'Beach-Read', 'Pop-Psychology']"
1000423,26-35,True,"['Classic', 'Drama']"
1000696,66+,True,"['Drama', 'Thriller', 'Sci-Fi', 'Romance', 'History', 'Beach-Read', 'Biography']"
1000785,18-25,False,"['Pop-Psychology', 'Romance', 'Drama', 'Beach-Read', 'Classic', 'Self-Help', 'History', 'Pop-Sci']"
1000916,56-65,True,"['Biography', 'Classic', 'Pop-Psychology', 'History', 'Beach-Read', 'Pop-Sci', 'Self-Help', 'Romance', 'Drama', 'Sci-Fi']"
1001144,66+,True,"['Beach-Read', 'Biography', 'Drama', 'Classic', 'Pop-Sci', 'History', 'Sci-Fi']"
1001172,46-55,True,"['Thriller', 'Classic']"
1001238,36-45,True,"['Pop-Psychology', 'Sci-Fi', 'History']"
1001248,26-35,False,"['Romance', 'Beach-Read', 'Thriller', 'Sci-Fi']"
1001382,46-55,True,"['Drama', 'Pop-Sci', 'Sci-Fi', 'Biography', 'History', 'Classic', 'Pop-Psychology', 'Romance']"
1001388,46-55,True,"['Self-Help', 'Drama', 'Sci-Fi', 'History']"
1001419,46-55,True,"['Pop-Sci', 'Drama', 'Thriller', 'History', 'Beach-Read', 'Sci-Fi', 'Classic', 'Romance', 'Biography']"
1001483,,True,"['Thriller', 'Drama']"
1001516,26-35,False,"['Beach-Read', 'Biography']"
1001552,66+,True,"['Pop-Psychology', 'Beach-Read', 'History', 'Sci-Fi', 'Pop-Sci', 'Romance', 'Classic', 'Self-Help', 'Thriller']"
1001687,66+,True,"['Pop-Sci', 'Classic']"
1001710,66+,True,['Pop-Psychology']
1001712,,True,"['Romance', 'Pop-Sci', 'History', 'Beach-Read', 'Pop-Psychology', 'Self-Help', 'Drama', 'Sci-Fi', 'Thriller']"
1001794,26-35,False,"['Classic', 'Biography', 'History', 'Thriller', 'Romance', 'Self-Help', 'Sci-Fi', 'Pop-Psychology']"
1001813,36-45,True,"['Beach-Read', 'Classic', 'History', 'Thriller', 'Pop-Psychology', 'Biography', 'Romance', 'Drama']"
1001885,18-25,True,"['Beach-Read', 'Thriller', 'Sci-Fi', 'Pop-Sci', 'History', 'Classic', 'Romance', 'Drama']"
1001929,66+,False,['Beach-Read']
1002085,66+,False,[]
1002195,56-65,False,['Romance']
1002223,46-55,True,"['Romance', 'Beach-Read']"
1002334,18-25,False,"['Drama', 'Pop-Sci', 'History']"
1002362,46-55,True,"['Thriller', 'Classic', 'Drama', 'Pop-Sci', 'Sci-Fi', 'Self-Help']"
1002501,36-45,False,"['Beach-Read', 'Pop-Sci', 'Self-Help', 'Romance', 'Thriller', 'Classic', 'Sci-Fi', 'Pop-Psychology', 'Biography', 'History']"
1002592,26-35,True,[]
1002601,56-65,False,"['History', 'Romance', 'Beach-Read', 'Drama', 'Pop-Psychology', 'Pop-Sci', 'Thriller', 'Self-Help']"
1002722,26-35,True,"['Biography', 'History', 'Pop-Sci', 'Sci-Fi', 'Pop-Psychology', 'Classic', 'Drama', 'Self-Help']"
1002725,18-25,True,"['Drama', 'History', 'Beach-Read', 'Biography', 'Pop-Psychology', 'Self-Help', 'Thriller']"
1002779,46-55,False,['Sci-Fi']
1002791,26-35,False,"['Biography', 'Self-Help', 'Sci-Fi', 'Pop-Sci', 'Drama', 'Thriller', 'Classic', 'Romance', 'History', 'Pop-Psychology']"
1002938,46-55,False,[]
1003095,36-45,True,"['Romance', 'Biography', 'History', 'Self-Help', 'Classic', 'Beach-Read']"
1003186,46-55,True,"['History', 'Romance', 'Beach-Read', 'Pop-Sci', 'Self-Help']"
1003221,18-25,False,"['Romance', 'Sci-Fi', 'Self-Help', 'Biography', 'Thriller', 'History', 'Classic', 'Beach-Read', 'Pop-Sci']"
1003265,18-25,True,"['Biography', 'Thriller', 'Sci-Fi', 'Beach-Read', 'History', 'Pop-Sci', 'Self-Help', 'Drama']"
1003350,26-35,False,"['Classic', 'Drama', 'Sci-Fi', 'History', 'Romance', 'Biography', 'Pop-Psychology']"
