product_id,quantity_purchased,cost_to_buy,retail_value
1479507,39,1.82,12.68
1681385,55,1.73,12.88
1771749,37,1.26,10.38
1605149,49,1.47,11.27
1861356,34,1.98,10.41
1587300,40,2.2,12.31
1644762,35,1.6,9.09
1759239,49,1.8,12.73
1782132,38,2.25,16.33
1708504,34,1.73,11.39
1806988,45,1.81,14.97
1959558,48,2.14,10.91
1490644,37,2.29,17.19
1891493,56,1.43,9.38
1776936,35,1.59,10.8
1522038,51,2.3,17.23
1237096,59,1.98,10.11
1138859,38,2.12,16.24
1541365,54,1.52,8.16
1216947,38,1.25,6.91
1138798,55,1.94,15.36
1765787,39,1.56,10.21
1867376,54,2.06,14.97
1841072,56,2.18,13.64
1016107,53,2.36,16.05
1879545,31,2.3,18.32
1077838,37,1.52,10.21
1933128,40,2.04,12.35
1108410,46,1.57,8.99
1859893,48,1.56,10.49
1708645,57,2.38,14.63
1657954,53,1.41,9.77
1596114,32,2.2,17.0
1935440,59,1.57,8.24
1801790,37,1.43,9.51
1177156,30,2.03,10.42
1191046,37,1.42,8.06
1163768,48,1.63,10.84
1393679,46,1.85,14.55
1893456,45,1.33,6.71
1302263,55,1.71,9.46
1330366,31,1.45,11.38
1518939,53,1.84,13.48
1051590,55,1.33,8.15
1558469,50,1.97,11.43
1119298,45,1.63,8.4
1073542,34,1.93,11.63
1813478,35,1.82,14.19
1520469,58,1.67,13.67
1107262,42,1.67,10.53
1434483,54,1.49,9.43
1885470,59,2.37,18.31
1696068,46,1.84,10.78
1714497,44,2.16,12.89
1500256,50,1.71,12.04
1944752,47,2.31,15.61
1651685,57,1.44,9.07
1730032,34,1.41,10.52
1490046,37,2.14,17.74
1905180,36,2.1,16.62
1297684,31,1.61,9.7
1675463,30,1.88,15.35
1859884,46,1.27,10.23
1537483,36,1.22,8.56
1541404,37,2.01,11.63
1204200,39,1.78,13.6
1029311,57,1.99,10.09
1962267,44,1.53,10.77
1165017,51,1.91,9.93
1300939,35,2.27,18.38
1469131,34,1.88,15.54
1597824,38,1.3,7.81
1386168,39,1.97,10.99
1162714,54,1.96,15.09
1028567,40,1.9,13.42
1173724,51,1.24,8.86
1617977,53,2.33,17.24
1210514,33,2.05,12.0
1560221,58,2.32,14.59
1962166,57,1.52,12.0
1615451,56,2.33,12.52
1459308,45,1.4,10.34
1056277,31,2.27,17.6
1343045,38,1.93,15.55
1101327,52,1.94,9.8
1690805,41,1.77,10.51
1534481,44,1.94,9.76
1553954,45,1.97,11.67
1513824,39,1.45,7.4
1605443,48,2.14,13.4
1967864,40,1.28,9.15
1449081,59,1.48,8.9
1379201,43,1.3,8.61
1043248,49,1.51,11.75
