product_id,quantity_purchased,cost_to_buy,retail_value
1769808,77,2.2,16.67
1896283,67,1.46,9.59
1889979,80,2.06,13.36
1341288,85,1.25,6.57
1666328,60,1.51,10.49
1905180,95,2.1,16.62
1014973,87,2.39,15.57
1888794,92,1.82,9.74
1078720,64,2.39,15.27
1315866,60,1.24,6.5
1328420,84,1.63,9.16
1644762,69,1.6,9.09
1084163,60,1.67,12.37
1943705,95,1.54,11.74
1731471,97,1.6,11.81
1685483,88,1.85,10.53
1425734,99,1.24,7.89
1023809,90,1.81,13.97
1996925,95,2.08,16.43
1513824,83,1.45,7.4
1215350,59,1.73,12.24
1253934,66,1.99,14.74
1839472,78,1.81,9.92
1057821,54,1.24,7.31
1832498,73,2.17,17.01
1831631,55,1.61,8.64
1801787,98,1.52,8.77
1683133,58,2.19,15.07
1729987,51,1.44,7.43
1542515,70,2.35,18.77
1770354,59,1.66,10.18
1393448,79,1.99,14.41
1415947,66,1.62,12.78
1596114,63,2.2,17.0
1120838,98,2.35,14.72
1853395,75,1.8,9.01
1788673,53,1.6,10.89
1284893,86,2.04,14.84
1638440,94,2.03,10.85
1082049,78,2.21,13.64
1281524,57,2.05,14.34
1949954,82,1.24,8.13
1203799,79,1.28,9.93
1683057,86,1.59,8.4
1614074,93,2.15,17.2
1359550,56,1.39,10.62
1586785,97,1.91,11.15
1448838,83,2.22,12.73
1609265,50,1.21,6.23
1378858,99,2.33,14.7
1276024,53,2.03,16.29
1886716,98,2.08,16.03
1072045,56,1.37,10.3
1470436,70,1.46,10.97
1633379,56,1.66,12.25
1150988,89,1.8,11.63
1750545,70,2.03,14.09
1718853,68,2.11,17.17
1776653,60,2.17,15.8
1124040,65,2.39,18.58
1880153,94,1.99,11.09
1300376,92,2.14,17.38
1267131,73,2.17,13.32
1219780,91,2.18,16.46
1850198,82,2.02,12.81
1086293,84,1.86,13.46
1670714,96,2.03,10.39
1318088,86,2.09,16.77
1213041,74,2.35,14.43
1534102,96,1.46,9.53
1702072,58,1.99,10.96
1300939,55,2.27,18.38
1958461,68,1.54,8.77
1982400,69,2.24,16.53
1110937,53,2.27,16.6
1203023,74,1.52,11.54
1029311,83,1.99,10.09
1967864,59,1.28,9.15
1760387,69,2.4,18.31
1316745,97,2.08,13.84
1950690,69,1.65,10.79
1242114,74,2.27,16.73
1147013,81,2.29,14.32
1155460,53,1.78,14.03
1370121,52,1.3,10.39
1478670,85,1.36,9.62
1444089,82,1.73,8.84
1962948,84,1.78,9.21
1523812,50,2.25,15.05
1541365,81,1.52,8.16
1350352,73,2.06,13.13
1997722,82,1.52,11.58
1295090,90,2.09,13.05
1489211,84,1.95,11.3
1019466,90,2.25,14.29
1771749,83,1.26,10.38
1392044,96,1.87,10.89
1570645,63,2.12,13.88
1855690,81,2.11,13.65
1996282,97,2.21,15.94
1769927,88,1.49,8.88
1074337,86,2.4,16.45
1443029,71,2.27,12.88
1846559,91,2.39,19.29
1615451,67,2.33,12.52
1664001,80,2.2,17.38
1444152,50,1.34,10.26
1138859,72,2.12,16.24
1792550,72,1.88,9.44
1881867,57,1.31,7.8
1225813,54,2.35,14.87
1232692,70,1.34,8.25
1347130,68,1.88,13.75
1768055,84,1.85,10.11
1639717,87,1.93,13.13
1948472,91,1.52,11.96
1858896,67,1.67,11.85
1027512,71,1.91,12.23
1192568,59,1.81,9.83
1489252,83,1.97,16.38
1994284,54,1.21,6.94
1615648,97,1.94,15.12
1102310,87,1.84,9.34
1661206,95,1.31,6.96
1132795,92,2.24,15.59
1707084,54,1.26,7.81
1792432,58,2.4,14.22
1559358,52,1.51,11.7
1115971,88,1.67,12.45
1518266,88,1.55,8.51
1434483,55,1.49,9.43
1431907,87,1.68,11.22
1749015,91,1.6,11.06
1312010,59,1.94,10.8
1297684,94,1.61,9.7
1094131,59,1.72,10.05
1650558,52,1.62,13.26
1461672,74,1.96,10.15
1761853,77,1.45,10.18
1134809,90,2.14,12.1
1874983,84,2.02,12.36
1543129,89,2.34,13.2
1379201,51,1.3,8.61
1592275,96,1.49,9.2
1185243,79,1.22,6.22
1310156,71,2.02,14.8
1178957,99,1.68,11.06
1466529,75,2.24,12.34
1509365,56,2.24,16.22
1023796,51,1.37,9.82
1895054,80,2.05,13.14
1465869,94,1.22,10.13
1172764,67,2.19,11.22
1481752,94,1.43,7.22
1007659,54,1.27,6.6
1051916,51,1.38,7.1
1289393,50,1.8,12.49
1778721,65,1.91,13.4
1747228,65,2.27,16.31
1404058,74,1.26,8.76
1284464,63,2.08,13.49
1604794,59,2.34,18.48
1170010,93,2.33,15.9
1505202,79,1.24,9.36
1460436,52,1.22,6.31
1663932,89,1.63,10.14
1729006,83,1.81,13.24
1244798,76,2.01,13.53
1459308,94,1.4,10.34
1704151,94,1.28,7.58
1064193,81,2.24,17.24
1762495,56,1.94,15.57
1860164,74,1.34,10.61
1708504,57,1.73,11.39
1932907,78,1.75,10.63
1208567,58,1.25,6.94
1128673,88,1.72,12.87
1272597,81,2.05,13.08
1228985,89,1.98,11.95
1210514,87,2.05,12.0
1282717,80,1.95,12.77
1297659,93,2.05,15.17
1994245,82,1.83,12.85
1625460,78,2.11,14.0
1498438,86,1.36,10.17
1272493,76,1.52,7.9
1233055,91,1.4,11.48
1888064,86,2.08,14.02
1371935,81,1.27,7.07
1919897,88,1.3,8.52
1833307,93,1.25,7.99
1265271,64,1.69,9.15
1048650,64,2.14,15.85
1368751,99,1.51,9.35
1574459,87,1.86,12.9
1727723,82,2.18,15.44
1640556,53,1.61,9.69
1387497,92,2.12,16.48
1647749,61,1.43,8.76
1963861,78,1.91,10.32
1788351,70,1.4,9.47
1766178,51,1.68,8.44
1879545,54,2.3,18.32
1719739,62,2.2,12.69
1020542,71,2.23,13.86
1637008,64,1.51,7.87
1690162,90,1.25,8.35
1386168,66,1.97,10.99
1060410,58,1.94,14.13
1241894,90,2.3,12.83
1014695,84,1.82,10.49
1891493,57,1.43,9.38
1206792,87,1.54,7.71
1741848,65,1.64,11.04
1486973,90,1.85,14.13
1046892,66,2.07,11.55
1636511,51,1.61,10.77
1632133,85,1.97,12.84
1167495,92,1.8,9.67
1316331,55,2.32,16.59
1378299,62,2.24,15.06
1627170,90,1.87,12.69
1923878,96,2.0,11.68
1889642,89,1.56,8.74
1805764,52,1.63,9.63
1740691,97,1.96,12.41
1278753,95,1.84,9.48
1196945,70,1.59,7.96
1131917,81,1.59,8.71
1708645,93,2.38,14.63
1197853,93,1.52,7.68
1420386,56,1.88,15.64
1508608,85,1.4,10.98
1840181,71,1.96,15.63
1397405,82,1.8,12.36
1856496,95,1.88,13.6
1503208,84,1.33,7.49
1523118,98,1.25,7.87
1537483,88,1.22,8.56
1535805,88,2.2,12.9
1489224,55,1.34,8.93
1079973,93,1.46,11.38
1719215,98,2.08,15.86
1512314,76,2.06,17.12
1626869,77,1.99,10.37
1222277,70,2.14,15.1
1980684,70,1.22,8.52
1630277,73,2.02,12.2
1638897,74,1.27,9.65
1180304,70,2.06,11.11
1492968,61,1.7,12.03
1405072,55,2.15,16.5
1692954,81,2.4,19.04
1841064,98,1.79,11.5
1335447,72,2.05,13.75
1469634,54,2.34,12.45
1076171,59,1.71,10.28
1004302,81,1.96,10.51
1995596,90,1.4,11.24
1436977,53,2.25,17.33
1723434,91,2.11,16.29
1204200,82,1.78,13.6
1563135,70,2.39,17.07
1902066,62,1.34,7.62
1695217,55,1.65,12.37
1426583,72,1.81,9.31
1058615,81,2.02,13.87
1331091,90,2.08,15.82
1985586,53,1.33,10.44
1046315,55,1.71,10.18
1339422,80,1.29,8.78
1180758,57,1.88,9.84
1865874,88,2.32,13.37
1086566,96,1.33,9.96
1538183,73,1.85,10.54
1985971,99,2.15,15.38
1859110,88,1.68,13.75
1688992,62,1.65,9.51
1014238,66,1.81,12.87
1896686,75,1.72,11.06
1609968,63,1.99,11.22
1172233,81,2.21,15.73
1605443,80,2.14,13.4
1611114,93,1.59,9.93
1164138,97,2.23,14.11
1517017,92,1.59,8.8
1758092,91,1.49,11.74
1901468,66,1.99,13.25
1361586,65,1.99,10.29
1265633,78,1.34,10.59
1777211,91,1.68,10.48
1973979,86,2.0,16.22
1673420,67,2.28,15.67
1042645,97,1.37,9.74
1664629,69,1.31,7.52
1765787,56,1.56,10.21
1279220,60,1.36,10.78
1628930,87,2.12,13.47
1611268,81,1.3,7.83
1330519,76,1.55,9.89
1322176,69,1.59,11.88
1745803,95,1.55,11.05
1162378,88,1.24,9.45
1240824,52,2.21,15.54
1449764,71,1.49,9.35
1767554,97,1.77,11.52
1865540,94,1.66,9.47
1831276,92,1.81,11.76
1536340,96,1.53,11.0
1413822,55,1.98,13.24
1713361,67,2.27,12.88
1181960,88,2.21,14.02
1490644,52,2.29,17.19
1443895,99,1.9,11.85
1995072,91,2.36,14.25
1490046,65,2.14,17.74
1908661,54,1.35,9.11
1493029,61,2.12,15.37
1214499,74,1.31,10.41
1516839,87,2.35,13.79
1996669,88,1.73,13.59
1882411,97,2.17,16.42
1842528,83,2.04,12.94
1902389,79,1.21,8.82
1262775,68,1.65,10.45
1534481,98,1.94,9.76
1170717,84,2.25,11.45
