"scraping_id","listing","city","lon","lat","mapped_location","name","capacity","bathrooms","bedrooms","has_pool","cleaning_fee","is_superhost","host_name"
"2","https://www.airbnb.com/rooms/17720788","Scottsdale","-111.9169346381","33.4965656789113","https://maps.google.com/maps?q=33.49656567891127423,-111.91693463810001674","Old Town Scottsdale Vacation Home & GIANTS Rental","7","2.5","2","1","150","1","Mj"
"3","https://www.airbnb.com/rooms/4400911","Scottsdale","-111.898977378705","33.4631824880277","https://maps.google.com/maps?q=33.46318248802771933,-111.89897737870549577","Upscale Townhouse South Scottsdale","4","1.5","2","1","85","1","Jamil"
"4","https://www.airbnb.com/rooms/19748678","Scottsdale","-111.957683775443","33.6078097265202","https://maps.google.com/maps?q=33.60780972652023024,-111.95768377544301586","North Scottsdale/ PV Private Guest House w/pool","4","1","0","1","75","1","Julie And Bill"
"5","https://www.airbnb.com/rooms/18900365","Scottsdale","-111.915535770277","33.4993967736783","https://maps.google.com/maps?q=33.49939677367833468,-111.91553577027680433","Mountain View Paradise*Heated Pool*Spa*Gym","4","1","1","1","100","1","Vanessa"
"6","https://www.airbnb.com/rooms/15808110","Scottsdale","-111.910657254408","33.4905706856457","https://maps.google.com/maps?q=33.49057068564571438,-111.91065725440839174","Modern Luxury Scottsdale Condo!","5","1","2","1","150","1","Sara"
"7","https://www.airbnb.com/rooms/16904175","Scottsdale","-111.905421816926","33.5105140399762","https://maps.google.com/maps?q=33.51051403997622913,-111.90542181692643453","Complete retreat with private hot tub.","6","2","2","1","75","0","Larry"
"8","https://www.airbnb.com/rooms/17478523","Scottsdale","-111.935345121189","33.5027125468308","https://maps.google.com/maps?q=33.50271254683075028,-111.93534512118939972","Stay in Old Town - Next to Fashion Square Mall!","4","1.5","2","1","110","1","Arizona"
"9","https://www.airbnb.com/rooms/16217702","Scottsdale","-111.934066465757","33.4918523352225","https://maps.google.com/maps?q=33.49185233522252503,-111.93406646575672880","WALK TO OLD TOWN- SLEEPS 6!","6","1.5","2","1","80","0","Leslie"
"10","https://www.airbnb.com/rooms/18488203","Scottsdale","-111.903138516467","33.6392728167756","https://maps.google.com/maps?q=33.63927281677555925,-111.90313851646708088","SCOTTSDALE PARADISE","6","2","2","1","90","1","Vince"
"11","https://www.airbnb.com/rooms/20012732","Scottsdale","-111.898074345653","33.5088561872522","https://maps.google.com/maps?q=33.50885618725220638,-111.89807434565254596","NEW! Remodeled Chic Townhome near Old Town!","6","2.5","2","1","100","0","Shayna"
"12","https://www.airbnb.com/rooms/13029908","Scottsdale","-111.929984018528","33.4904602990411","https://maps.google.com/maps?q=33.49046029904109645,-111.92998401852776169","LOCATION! LOCATION! 2BD/2BA Old Town Scottsdale","4","2","2","1","100","1","Holly"
"13","https://www.airbnb.com/rooms/20899364","Scottsdale","-111.912481150248","33.475010610226","https://maps.google.com/maps?q=33.47501061022597213,-111.91248115024777121","Old Town Scottsdale Gem - 2,000sqft - on Greenbelt","10","2.5","4","1","85","1","Nick"
"14","https://www.airbnb.com/rooms/20241806","Scottsdale","-111.899741","33.457978","https://maps.google.com/maps?q=33.45797800000000000,-111.89974100000000000","Perfect South Scottsdale Townhome! Great Rates!","6","2.5","2","1","125","0","Carson"
"15","https://www.airbnb.com/rooms/18078837","Scottsdale","-111.934717497959","33.6218873382747","https://maps.google.com/maps?q=33.62188733827470344,-111.93471749795919834","Resort Style Apt - Balcony Unit - Salt Water Pool","5","2","2","1","50","1","Billy"
"17","https://www.airbnb.com/rooms/20589867","Phoenix","-112.057789859611","33.4734229620057","https://maps.google.com/maps?q=33.47342296200572065,-112.05778985961120497","Charming Craftsman Bungalow in Coronado","4","1","2","0","40","1","Grace"
"18","https://www.airbnb.com/rooms/16322245","Scottsdale","-111.77150919254","33.7577678094055","https://maps.google.com/maps?q=33.75776780940545763,-111.77150919253962513","NE Scottsdale - 2 Bedrooms - Gated Estate -3 Acres","4","1","2","1","0","1","Laura"
"19","https://www.airbnb.com/rooms/16603819","Scottsdale","-111.923028123072","33.5094756375907","https://maps.google.com/maps?q=33.50947563759065417,-111.92302812307183046","Modern 2BR by Old Town #12 by WanderJaunt","6","2","2","1","115","1","WanderJaunt"
"20","https://www.airbnb.com/rooms/18817851","Scottsdale","-111.924747677877","33.507526551663","https://maps.google.com/maps?q=33.50752655166296989,-111.92474767787746259","Opulence ? of Old Town, Sleeps 4, 2-bed, 2-bath","4","2","2","1","135","1","Michael"
