campaign_name,spend,impressions,clicks
21-30_cluster1_htc_one_2GB_limited_time_offer_8114,250,1851,51
<21_allclusters_iphone_6/6+_Vzn_10114,44.54,2866,1
21-30_notarget_htc_one_1GB,366.52,8658,90
<21_cluster3_htc_one_1GB_8114,427.83,1549,79
31-40_notarget_iPhone_6/6+_all_other_devices,79.14,6885,98
21-30_cluster1_htc_one_2GB_8114,136.19,7842,0
51+_cluster2_nokia_lumia_v3_more_everything,47.92,9646,23
<21_cluster1_iphone5S,20.28,3968,98
<21_notarget_iphone_6/6+_Vzn,260.53,4404,16
51+_notarget_htc_one_2GB_limited_time_offer,215.05,4316,38
<21_notarget_iphone_6/6+_Vzn,652.35,2238,65
51+_cluster3_iphone_6/6+_AT&T_9114,41.53,6901,77
51+_notarget_htc_one_2GB_9114,53.17,1722,26
<21_cluster1_iPhone_6/6+_all_other_devices,38.11,5876,69
51+_cluster1_iphone_6/6+_Vzn,8.59,6487,73
<21_cluster3_iPhone_6/6+_all_other_devices,165.62,5640,27
31-40_allclusters_nokia_lumia_v3_more_everything,218.98,1928,36
51+_cluster2_htc_one_2GB,28.47,4562,53
51+_allclusters_nokia_lumia_v3,105.53,4062,74
51+_allclusters_iphone5S_10114,796.15,5521,77
51+_cluster2_nokia_lumia_v3_more_everything_10114,89.97,6471,78
<21_notarget_iphone5S_10114,2.5,3591,23
31-40_allclusters_iphone_6/6+_Vzn_10114,215.64,5666,23
41-50_allclusters_htc_one_2GB,71.96,9987,43
<21_allclusters_htc_one_2GB_8114,27.71,3687,56
41-50_cluster2_iPhone_6/6+_all_other_devices_10114,133,2908,38
41-50_cluster3_htc_one_1GB,553.3,1584,38
41-50_cluster3_htc_one_2GB,339.98,5837,29
<21_notarget_iphone_6/6+_Vzn,32.82,4590,30
21-30_notarget_nokia_lumia_v3,225.44,4729,69
31-40_allclusters_iPhone_6/6+_all_other_devices,203.22,5664,9
41-50_allclusters_iPhone_6/6+_all_other_devices_9114,43.85,6891,95
21-30_cluster3_iphone5S_10114,484.98,9224,58
31-40_allclusters_htc_one_2GB_9114,708.38,5375,28
21-30_cluster2_htc_one_2GB_limited_time_offer_9114,57.23,6650,44
51+_allclusters_iphone5S,876.63,7114,93
<21_cluster2_iPhone_6/6+_all_other_devices_8114,40.56,5379,91
31-40_cluster1_nokia_lumia_v3_more_everything_8114,12.75,4957,89
41-50_cluster1_iphone_6/6+_Vzn_10114,671.45,1003,16
